Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,LR27,-83.68964529,31.38392562,2,2,"Little River, GA (ARS)",0.746,3.238,0.6,25.8,0.617507937,0.025,0.015,269.16,16.57,1.14,0.198,450,LWC,17R,244221,3475279
ARS,LR28,-83.5698369,31.29076805,2,1,"Little River, GA (ARS)",0.797,2.55,2.6,25.5,0.685646288,0.041,0.016,257.57,17.69,5.85,0.383,450,LWC,17R,255377,3464677
ARS,LR29,-83.78459223,31.41220486,2,1,"Little River, GA (ARS)",0.59,3.242,0,19.9,0.427085427,0.034,0.013,237.1,14.12,1.19,0.136,450,LWC,17R,235268,3478640
ARS,LR30,-83.3383612,31.28552247,2,1,"Little River, GA (ARS)",0.775,3.774,2,31.7,0.647929293,0.024,0.007,0,24.95,5.32,0.102,450,LWC,17R,277405,3463605
ARS,LR31,-83.7447426,31.50591659,2,1,"Little River, GA (ARS)",0.645,8.565,0,30.4,0.363256579,0.013,0.012,295.63,15.19,0.53,0.162,450,LWC,17R,239318,3488936
ARS,LR32,-83.66992926,31.04546574,2,1,"Little River, GA (ARS)",0.769,4.325,0.4,35.8,0.646824859,0.018,0.012,264.37,28.8,5.13,0.091,450,LWC,17R,245189,3437703
ARS,LR33,-83.34885663,31.47159317,2,1,"Little River, GA (ARS)",0.517,5.97,0.2,33.9,0.339848665,0.021,0.018,251.31,31.87,0,0.064,450,LWC,17R,276846,3484257
ARS,LW01,-97.9,34.96,6,1,"Little Washita, OK (ARS)",0.788,4.884,2.5,36,0.642208955,0.017,0.015,263.76,27.79,8.07,0.312,300,IAQ,14S,600427,3869159
ARS,LW02,-98.06,34.97,6,1,"Little Washita, OK (ARS)",0.834,2.608,2.5,24,0.712697674,0.023,0.01,242.65,18.95,2.54,0.267,300,IAQ,14S,585809,3870119
ARS,LW03,-98.23,34.95,4,1,"Little Washita, OK (ARS)",0.799,5.911,2.5,37,0.627666667,0.004,0.019,266.87,33.08,8.86,0.135,300,IAQ,14S,570307,3867768
ARS,LW04,-98.18,34.94,1,1,"Little Washita, OK (ARS)",0.835,0.89,2.5,8,0.673181818,0.057,0.004,87.18,6.52,2.48,0.273,300,IAQ,14S,574881,3866696
ARS,LW05,-98.13,34.95,1,1,"Little Washita, OK (ARS)",0.769,2.432,2.5,17,0.601275862,0.027,0.016,277.49,14.69,2.79,0.235,300,IAQ,14S,579438,3867843
ARS,LW06,-98.08,34.93,6,1,"Little Washita, OK (ARS)",0.794,4.57,2.5,23,0.571073171,0.04,0.029,253.2,13.87,3.34,0.4,300,IAQ,14S,584024,3865666
ARS,LW07,-98.02,34.93,6,1,"Little Washita, OK (ARS)",0.886,3.495,2.5,34,0.775047619,0.023,0.022,233.35,28.8,5.82,0.181,300,IAQ,14S,589504,3865718
ARS,LW08,-97.97,34.93,6,1,"Little Washita, OK (ARS)",0.701,6.667,3,32,0.471103448,0.021,0.011,264.5,29.56,8.75,0.171,300,IAQ,14S,594070,3865764
ARS,LW09,-97.91,34.86,3,1,"Little Washita, OK (ARS)",0.878,3.541,2.5,27,0.733469388,0.025,0.022,260.72,19.04,7.06,0.262,300,IAQ,14S,599635,3858059
